Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","44973.465","X","Figure from international organizations",""
"Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","45191.964","X","Figure from international organizations",""
"Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","45312.281","X","Figure from international organizations",""
"Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","45407.904","X","Figure from international organizations",""
"Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","45538.401","X","Figure from international organizations",""
"Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","207455.459","X","Figure from international organizations",""
"Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","208660.842","X","Figure from international organizations",""
"Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","209550.294","X","Figure from international organizations",""
"Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","210306.415","X","Figure from international organizations",""
"Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","211140.729","X","Figure from international organizations",""
"China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1455351.282","X","Figure from international organizations",""
"China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1457942.854","X","Figure from international organizations",""
"China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1458174.603","X","Figure from international organizations",""
"China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","1456769.951","X","Figure from international organizations",""
"China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","1454058.724","X","Figure from international organizations",""
"El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","6222.318","X","Figure from international organizations",""
"El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","6234.673","X","Figure from international organizations",""
"El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","6255.782","X","Figure from international organizations",""
"El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","6280.319","X","Figure from international organizations",""
"El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","6309.624","X","Figure from international organizations",""
